GameID,Year,Home_Team,Home_Score,Home_Team_wkts_lost,Away_Team,Away_Score,Away_Team_wkts_lost,Result,Winner,Bat_First_Win,Bat_Second_Win,Home_Team_Win,Away_Team_Win
129,2017,GREAT SHELFORD CC,177,7,LITTLE SHELFORD CC,178,1,LITTLE SHELFORD CC WON  BY 9 WICKETS,LITTLE SHELFORD CC,FALSE,TRUE,FALSE,TRUE
130,2017,STEEPLE MORDEN CC,82,10,LITTLE SHELFORD CC,158,10,LITTLE SHELFORD CC WON  BY 0 WICKETS,LITTLE SHELFORD CC,FALSE,TRUE,FALSE,TRUE
131,2017,ROMSEY TOWN CC,124,8,LITTLE SHELFORD CC,184,10,LITTLE SHELFORD CC WON  BY 60 RUNS,LITTLE SHELFORD CC,TRUE,FALSE,FALSE,TRUE
132,2017,ASHWELL CC,114,1,CHESTERFORDS CC,108,10,ASHWELL CC WON  BY 9 WICKETS,ASHWELL CC,FALSE,TRUE,TRUE,FALSE
133,2017,ASHWELL CC,96,5,WILBRAHAMS CC,95,10,ASHWELL CC WON  BY 5 WICKETS,ASHWELL CC,FALSE,TRUE,TRUE,FALSE
137,2017,SAWSTON AND BABRAHAM CC,150,10,ASHWELL CC,151,5,ASHWELL CC WON  BY 5 WICKETS,ASHWELL CC,FALSE,TRUE,FALSE,TRUE
139,2017,ASHWELL CC,77,2,COKENACH CC,74,10,ASHWELL CC WON  BY 8 WICKETS,ASHWELL CC,FALSE,TRUE,TRUE,FALSE
140,2017,MADINGLEY CC,163,10,ASHWELL CC,166,8,ASHWELL CC WON  BY 2 WICKETS,ASHWELL CC,FALSE,TRUE,FALSE,TRUE
142,2017,"BARRINGTON CC, CAMBS",161,10,ASHWELL CC,230,9,ASHWELL CC WON  BY 69 RUNS,ASHWELL CC,TRUE,FALSE,FALSE,TRUE
143,2017,ASHWELL CC,212,9,SAWSTON AND BABRAHAM CC,181,9,ASHWELL CC WON  BY 31 RUNS,ASHWELL CC,TRUE,FALSE,TRUE,FALSE
144,2017,ASHWELL CC,185,10,MADINGLEY CC,186,8,MADINGLEY CC WON  BY 2 WICKETS,MADINGLEY CC,FALSE,TRUE,FALSE,TRUE
145,2017,WILBRAHAMS CC,131,10,ASHWELL CC,332,4,ASHWELL CC WON  BY 201 RUNS,ASHWELL CC,TRUE,FALSE,FALSE,TRUE
147,2017,ASHWELL CC,107,6,YELLING CC,106,10,ASHWELL CC WON  BY 4 WICKETS,ASHWELL CC,FALSE,TRUE,TRUE,FALSE
148,2017,ASHWELL CC,224,8,"BARRINGTON CC, CAMBS",293,4,"BARRINGTON CC, CAMBS WON  BY 69 RUNS","BARRINGTON CC, CAMBS",TRUE,FALSE,FALSE,TRUE
149,2017,ASHWELL CC,173,10,THRIPLOW CC,155,9,ASHWELL CC WON  BY 18 RUNS,ASHWELL CC,TRUE,FALSE,TRUE,FALSE
150,2018,"NEWPORT CC, ESSEX",231,6,AUDLEY END & LITTLEBURY CC,229,8,"NEWPORT CC, ESSEX WON  BY 4 WICKETS","NEWPORT CC, ESSEX",FALSE,TRUE,TRUE,FALSE
152,2018,SAFFRON WALDEN CC,190,4,AUDLEY END & LITTLEBURY CC,186,4,SAFFRON WALDEN CC WON  BY 6 WICKETS,SAFFRON WALDEN CC,FALSE,TRUE,TRUE,FALSE
154,2018,GIRTON CC,209,2,AUDLEY END & LITTLEBURY CC,208,10,GIRTON CC WON  BY 8 WICKETS,GIRTON CC,FALSE,TRUE,TRUE,FALSE
155,2018,AUDLEY END & LITTLEBURY CC,193,10,HORSEHEATH CC,229,8,HORSEHEATH CC WON  BY 36 RUNS,HORSEHEATH CC,TRUE,FALSE,FALSE,TRUE
156,2018,ISLEHAM CC,325,5,AUDLEY END & LITTLEBURY CC,188,10,ISLEHAM CC WON  BY 137 RUNS,ISLEHAM CC,TRUE,FALSE,TRUE,FALSE
158,2018,AUDLEY END & LITTLEBURY CC,123,10,WILBURTON CC,190,6,WILBURTON CC WON  BY 67 RUNS,WILBURTON CC,TRUE,FALSE,FALSE,TRUE
159,2018,AUDLEY END & LITTLEBURY CC,205,10,"NEWPORT CC, ESSEX",206,4,"NEWPORT CC, ESSEX WON  BY 5 WICKETS","NEWPORT CC, ESSEX",FALSE,TRUE,FALSE,TRUE
160,2018,AUDLEY END & LITTLEBURY CC,197,6,ASHWELL CC,192,10,AUDLEY END & LITTLEBURY CC WON  BY 4 WICKETS,AUDLEY END & LITTLEBURY CC,FALSE,TRUE,TRUE,FALSE
161,2018,AUDLEY END & LITTLEBURY CC,205,8,SAFFRON WALDEN CC,207,1,SAFFRON WALDEN CC WON  BY 9 WICKETS,SAFFRON WALDEN CC,FALSE,TRUE,FALSE,TRUE
162,2018,GREAT CHISHILL CC,292,5,AUDLEY END & LITTLEBURY CC,105,10,GREAT CHISHILL CC WON  BY 187 RUNS,GREAT CHISHILL CC,TRUE,FALSE,TRUE,FALSE
163,2018,AUDLEY END & LITTLEBURY CC,133,10,GIRTON CC,134,4,GIRTON CC WON  BY 6 WICKETS,GIRTON CC,FALSE,TRUE,FALSE,TRUE
164,2018,HORSEHEATH CC,319,5,AUDLEY END & LITTLEBURY CC,234,9,HORSEHEATH CC WON  BY 85 RUNS,HORSEHEATH CC,TRUE,FALSE,TRUE,FALSE
165,2018,AUDLEY END & LITTLEBURY CC,206,6,ISLEHAM CC,318,6,ISLEHAM CC WON  BY 112 RUNS,ISLEHAM CC,TRUE,FALSE,FALSE,TRUE
166,2018,AUDLEY END & LITTLEBURY CC,164,10,CITY OF ELY CC,165,2,CITY OF ELY CC WON  BY 8 WICKETS,CITY OF ELY CC,FALSE,TRUE,FALSE,TRUE
167,2018,WILBURTON CC,223,10,AUDLEY END & LITTLEBURY CC,200,9,WILBURTON CC WON  BY 23 RUNS,WILBURTON CC,TRUE,FALSE,TRUE,FALSE
168,2018,CAMBRIDGE NCI CC,192,6,CHATTERIS CC,193,9,CHATTERIS CC WON  BY 1 WICKET,CHATTERIS CC,FALSE,TRUE,FALSE,TRUE
169,2018,WIMBLINGTON CC,85,10,CAMBRIDGE NCI CC,259,8,CAMBRIDGE NCI CC WON  BY 174 RUNS,CAMBRIDGE NCI CC,TRUE,FALSE,FALSE,TRUE
171,2018,OVER CC,127,10,CAMBRIDGE NCI CC,289,8,CAMBRIDGE NCI CC WON  BY 162 RUNS,CAMBRIDGE NCI CC,TRUE,FALSE,FALSE,TRUE
172,2018,GREAT SHELFORD CC,221,10,CAMBRIDGE NCI CC,223,3,CAMBRIDGE NCI CC WON  BY 7 WICKETS,CAMBRIDGE NCI CC,FALSE,TRUE,FALSE,TRUE
173,2018,CAMBRIDGE NCI CC,145,7,CAMDEN CC,146,4,CAMDEN CC WON  BY 6 WICKETS,CAMDEN CC,FALSE,TRUE,FALSE,TRUE
174,2018,CAMBRIDGE NCI CC,234,10,CAMBOURNE CC,107,10,CAMBRIDGE NCI CC WON  BY 127 RUNS,CAMBRIDGE NCI CC,TRUE,FALSE,TRUE,FALSE
175,2018,CAMDEN CC,190,3,CAMBRIDGE NCI CC,186,9,CAMDEN CC WON  BY 7 WICKETS,CAMDEN CC,FALSE,TRUE,TRUE,FALSE
176,2018,WISBECH TOWN CC,243,7,CAMBRIDGE NCI CC,148,9,WISBECH TOWN CC WON  BY 95 RUNS,WISBECH TOWN CC,TRUE,FALSE,TRUE,FALSE
177,2018,CAMBRIDGE NCI CC,222,9,WIMBLINGTON CC,172,6,CAMBRIDGE NCI CC WON  BY 50 RUNS,CAMBRIDGE NCI CC,TRUE,FALSE,TRUE,FALSE
178,2018,CAMBOURNE CC,169,8,CAMBRIDGE NCI CC,182,9,CAMBRIDGE NCI CC WON  BY 13 RUNS,CAMBRIDGE NCI CC,TRUE,FALSE,FALSE,TRUE
179,2018,COTON CC,249,5,CAMBRIDGE NCI CC,209,9,COTON CC WON  BY 40 RUNS,COTON CC,TRUE,FALSE,TRUE,FALSE
180,2018,CAMBRIDGE NCI CC,227,5,OVER CC,229,6,OVER CC WON  BY 4 WICKETS,OVER CC,FALSE,TRUE,FALSE,TRUE
181,2018,CAMBRIDGE NCI CC,209,8,GREAT SHELFORD CC,207,3,CAMBRIDGE NCI CC WON  BY 2 WICKETS,CAMBRIDGE NCI CC,FALSE,TRUE,TRUE,FALSE
183,2018,CHATTERIS CC,82,6,CAMBRIDGE NCI CC,81,10,CHATTERIS CC WON  BY 4 WICKETS,CHATTERIS CC,FALSE,TRUE,TRUE,FALSE
184,2018,GREAT CHISHILL CC,214,9,SAFFRON WALDEN CC,217,3,SAFFRON WALDEN CC WON  BY 7 WICKETS,SAFFRON WALDEN CC,FALSE,TRUE,FALSE,TRUE
185,2018,HORSEHEATH CC,72,2,GREAT CHISHILL CC,71,10,HORSEHEATH CC WON  BY 8 WICKETS,HORSEHEATH CC,FALSE,TRUE,TRUE,FALSE
186,2018,GIRTON CC,211,3,GREAT CHISHILL CC,208,10,GIRTON CC WON  BY 7 WICKETS,GIRTON CC,FALSE,TRUE,TRUE,FALSE
188,2018,ASHWELL CC,215,10,GREAT CHISHILL CC,291,7,GREAT CHISHILL CC WON  BY 76 RUNS,GREAT CHISHILL CC,TRUE,FALSE,FALSE,TRUE
189,2018,ISLEHAM CC,194,10,GREAT CHISHILL CC,197,3,GREAT CHISHILL CC WON  BY 7 WICKETS,GREAT CHISHILL CC,FALSE,TRUE,FALSE,TRUE
190,2018,GREAT CHISHILL CC,172,10,"NEWPORT CC, ESSEX",199,10,"NEWPORT CC, ESSEX WON  BY 27 RUNS","NEWPORT CC, ESSEX",TRUE,FALSE,FALSE,TRUE
191,2018,GREAT CHISHILL CC,227,6,WILBURTON CC,228,3,WILBURTON CC WON  BY 7 WICKETS,WILBURTON CC,FALSE,TRUE,FALSE,TRUE
192,2018,GREAT CHISHILL CC,62,10,CITY OF ELY CC,293,7,CITY OF ELY CC WON  BY 231 RUNS,CITY OF ELY CC,TRUE,FALSE,FALSE,TRUE
193,2018,SAFFRON WALDEN CC,248,6,GREAT CHISHILL CC,252,7,GREAT CHISHILL CC WON  BY 3 WICKETS,GREAT CHISHILL CC,FALSE,TRUE,FALSE,TRUE
194,2018,GREAT CHISHILL CC,238,10,HORSEHEATH CC,240,4,HORSEHEATH CC WON  BY 6 WICKETS,HORSEHEATH CC,FALSE,TRUE,FALSE,TRUE
195,2018,GREAT CHISHILL CC,250,10,GIRTON CC,284,5,GIRTON CC WON  BY 34 RUNS,GIRTON CC,TRUE,FALSE,FALSE,TRUE
197,2018,GREAT CHISHILL CC,176,10,ASHWELL CC,177,7,ASHWELL CC WON  BY 3 WICKETS,ASHWELL CC,FALSE,TRUE,FALSE,TRUE
198,2018,GREAT CHISHILL CC,179,8,ISLEHAM CC,126,10,GREAT CHISHILL CC WON  BY 53 RUNS,GREAT CHISHILL CC,TRUE,FALSE,TRUE,FALSE
199,2018,"NEWPORT CC, ESSEX",295,9,GREAT CHISHILL CC,209,7,"NEWPORT CC, ESSEX WON  BY 86 RUNS","NEWPORT CC, ESSEX",TRUE,FALSE,TRUE,FALSE
201,2018,CITY OF ELY CC,223,7,GREAT CHISHILL CC,104,10,CITY OF ELY CC WON  BY 119 RUNS,CITY OF ELY CC,TRUE,FALSE,TRUE,FALSE
202,2018,LINTON VILLAGE CC,112,10,MADINGLEY CC,113,4,MADINGLEY CC WON  BY 6 WICKETS,MADINGLEY CC,FALSE,TRUE,FALSE,TRUE
203,2018,YELLING CC,173,10,LINTON VILLAGE CC,112,10,YELLING CC WON  BY 61 RUNS,YELLING CC,TRUE,FALSE,TRUE,FALSE
204,2018,CAMBRIDGE ST. GILES CC,129,10,LINTON VILLAGE CC,150,10,LINTON VILLAGE CC WON  BY 21 RUNS,LINTON VILLAGE CC,TRUE,FALSE,FALSE,TRUE
205,2018,WILBRAHAMS CC,122,9,LINTON VILLAGE CC,116,10,WILBRAHAMS CC WON  BY 6 RUNS,WILBRAHAMS CC,TRUE,FALSE,TRUE,FALSE
206,2018,LINTON VILLAGE CC,113,10,"CHIPPENHAM CC, CAMBS",114,2,"CHIPPENHAM CC, CAMBS WON  BY 8 WICKETS","CHIPPENHAM CC, CAMBS",FALSE,TRUE,FALSE,TRUE
207,2018,THRIPLOW CC,178,5,LINTON VILLAGE CC,175,10,THRIPLOW CC WON  BY 5 WICKETS,THRIPLOW CC,FALSE,TRUE,TRUE,FALSE
208,2018,LINTON VILLAGE CC,247,10,"ABINGTON CC, CAMBS",117,10,LINTON VILLAGE CC WON  BY 130 RUNS,LINTON VILLAGE CC,TRUE,FALSE,TRUE,FALSE
209,2018,LINTON VILLAGE CC,120,10,"BARRINGTON CC, CAMBS",166,10,"BARRINGTON CC, CAMBS WON  BY 46 RUNS","BARRINGTON CC, CAMBS",TRUE,FALSE,FALSE,TRUE
210,2018,LINTON VILLAGE CC,175,10,SAWSTON AND BABRAHAM CC,177,1,SAWSTON AND BABRAHAM CC WON  BY 9 WICKETS,SAWSTON AND BABRAHAM CC,FALSE,TRUE,FALSE,TRUE
211,2018,"ABINGTON CC, CAMBS",154,10,LINTON VILLAGE CC,207,8,LINTON VILLAGE CC WON  BY 53 RUNS,LINTON VILLAGE CC,TRUE,FALSE,FALSE,TRUE
212,2018,LINTON VILLAGE CC,265,9,WILBRAHAMS CC,222,7,LINTON VILLAGE CC WON  BY 43 RUNS,LINTON VILLAGE CC,TRUE,FALSE,TRUE,FALSE
213,2018,MADINGLEY CC,68,10,LINTON VILLAGE CC,143,10,LINTON VILLAGE CC WON  BY 75 RUNS,LINTON VILLAGE CC,TRUE,FALSE,FALSE,TRUE
214,2018,"BARRINGTON CC, CAMBS",118,10,LINTON VILLAGE CC,143,10,LINTON VILLAGE CC WON  BY 25 RUNS,LINTON VILLAGE CC,TRUE,FALSE,FALSE,TRUE
215,2018,LINTON VILLAGE CC,223,10,CAMBRIDGE ST. GILES CC,279,2,CAMBRIDGE ST. GILES CC WON  BY 56 RUNS,CAMBRIDGE ST. GILES CC,TRUE,FALSE,FALSE,TRUE
216,2018,SAWSTON AND BABRAHAM CC,139,1,LINTON VILLAGE CC,138,10,SAWSTON AND BABRAHAM CC WON  BY 9 WICKETS,SAWSTON AND BABRAHAM CC,FALSE,TRUE,TRUE,FALSE
217,2018,LINTON VILLAGE CC,221,8,YELLING CC,163,10,LINTON VILLAGE CC WON  BY 58 RUNS,LINTON VILLAGE CC,TRUE,FALSE,TRUE,FALSE
218,2018,LINTON VILLAGE CC,138,6,THRIPLOW CC,134,9,LINTON VILLAGE CC WON  BY 4 WICKETS,LINTON VILLAGE CC,FALSE,TRUE,TRUE,FALSE
219,2018,"CHIPPENHAM CC, CAMBS",115,8,LINTON VILLAGE CC,114,10,"CHIPPENHAM CC, CAMBS WON  BY 2 WICKETS","CHIPPENHAM CC, CAMBS",FALSE,TRUE,TRUE,FALSE
220,2018,ICKLETON CC,158,9,SAWSTON AND BABRAHAM CC,185,5,SAWSTON AND BABRAHAM CC WON  BY 27 RUNS,SAWSTON AND BABRAHAM CC,TRUE,FALSE,FALSE,TRUE
221,2018,ICKLETON CC,323,4,WHITTLESFORD CC,56,10,ICKLETON CC WON  BY 267 RUNS,ICKLETON CC,TRUE,FALSE,TRUE,FALSE
222,2018,BUNTINGFORD CC,93,10,ICKLETON CC,246,4,ICKLETON CC WON  BY 153 RUNS,ICKLETON CC,TRUE,FALSE,FALSE,TRUE
223,2018,ICKLETON CC,113,4,BALSHAM CC,111,10,ICKLETON CC WON  BY 6 WICKETS,ICKLETON CC,FALSE,TRUE,TRUE,FALSE
225,2018,ICKLETON CC,203,8,SAFFRON WALDEN CC,197,7,ICKLETON CC WON  BY 2 WICKETS,ICKLETON CC,FALSE,TRUE,TRUE,FALSE
226,2018,ICKLETON CC,157,1,"NEWPORT CC, ESSEX",155,10,ICKLETON CC WON  BY 9 WICKETS,ICKLETON CC,FALSE,TRUE,TRUE,FALSE
227,2018,WHITTLESFORD CC,185,10,ICKLETON CC,177,10,WHITTLESFORD CC WON  BY 8 RUNS,WHITTLESFORD CC,TRUE,FALSE,TRUE,FALSE
228,2018,ICKLETON CC,139,10,"BARLEY CC, CAMBS",107,10,ICKLETON CC WON  BY 32 RUNS,ICKLETON CC,TRUE,FALSE,TRUE,FALSE
229,2018,BALSHAM CC,149,8,ICKLETON CC,152,5,ICKLETON CC WON  BY 5 WICKETS,ICKLETON CC,FALSE,TRUE,FALSE,TRUE
230,2018,"BARLEY CC, CAMBS",117,10,ICKLETON CC,217,10,ICKLETON CC WON  BY 100 RUNS,ICKLETON CC,TRUE,FALSE,FALSE,TRUE
231,2018,SAWSTON AND BABRAHAM CC,178,7,ICKLETON CC,86,10,SAWSTON AND BABRAHAM CC WON  BY 92 RUNS,SAWSTON AND BABRAHAM CC,TRUE,FALSE,TRUE,FALSE
232,2018,SAFFRON WALDEN CC,170,6,ICKLETON CC,237,5,ICKLETON CC WON  BY 67 RUNS,ICKLETON CC,TRUE,FALSE,FALSE,TRUE
233,2018,ICKLETON CC,129,10,BUNTINGFORD CC,99,9,ICKLETON CC WON  BY 30 RUNS,ICKLETON CC,TRUE,FALSE,TRUE,FALSE
234,2018,POTTER STREET & CHURCH LANGLEY CC,105,4,BIRCHANGER CC,103,10,POTTER STREET & CHURCH LANGLEY CC WON  BY 6 WICKETS,POTTER STREET & CHURCH LANGLEY CC,FALSE,TRUE,TRUE,FALSE
235,2018,BIRCHANGER CC,206,7,NORTH WEALD CC -,206,8,BIRCHANGER CC WON  BY 3 WICKETS,BIRCHANGER CC,FALSE,TRUE,TRUE,FALSE
236,2018,ABRIDGE CC -,257,2,BIRCHANGER CC,255,7,ABRIDGE CC WON  BY 8 WICKETS,ABRIDGE CC,FALSE,TRUE,FALSE,FALSE
237,2018,WILLINGALE CC,227,5,BIRCHANGER CC,230,1,BIRCHANGER CC WON  BY 9 WICKETS,BIRCHANGER CC,FALSE,TRUE,FALSE,TRUE
238,2018,CLOGHAMS CC,162,6,BIRCHANGER CC,151,7,CLOGHAMS CC WON  BY 11 RUNS,CLOGHAMS CC,TRUE,FALSE,TRUE,FALSE
239,2018,BIRCHANGER CC,122,8,POTTER STREET & CHURCH LANGLEY CC,125,6,POTTER STREET & CHURCH LANGLEY CC WON  BY 4 WICKETS,POTTER STREET & CHURCH LANGLEY CC,FALSE,TRUE,FALSE,TRUE
240,2018,NORTH WEALD CC -,178,10,BIRCHANGER CC,149,10,NORTH WEALD CC WON  BY 29 RUNS,NORTH WEALD CC,TRUE,FALSE,FALSE,FALSE
241,2018,BIRCHANGER CC,65,1,ABRIDGE CC -,61,10,BIRCHANGER CC WON  BY 9 WICKETS,BIRCHANGER CC,FALSE,TRUE,TRUE,FALSE
242,2018,BIRCHANGER CC,143,0,WILLINGALE CC,138,10,BIRCHANGER CC WON  BY 10 WICKETS,BIRCHANGER CC,FALSE,TRUE,TRUE,FALSE
243,2018,CLOGHAMS CC,130,9,BIRCHANGER CC,134,3,BIRCHANGER CC WON  BY 7 WICKETS,BIRCHANGER CC,FALSE,TRUE,FALSE,TRUE
244,2018,HELIONS BUMPSTEAD CC,134,10,ELMDON CC,174,8,ELMDON CC WON  BY 40 RUNS,ELMDON CC,TRUE,FALSE,FALSE,TRUE
245,2018,ELMDON CC,202,8,LONGSTOWE CC,72,10,ELMDON CC WON  BY 130 RUNS,ELMDON CC,TRUE,FALSE,TRUE,FALSE
246,2018,ELMDON CC,178,10,LITTLE SHELFORD CC,255,7,LITTLE SHELFORD CC WON  BY 77 RUNS,LITTLE SHELFORD CC,TRUE,FALSE,FALSE,TRUE
247,2018,LITTLE SHELFORD CC,98,4,ELMDON CC,97,10,LITTLE SHELFORD CC WON  BY 6 WICKETS,LITTLE SHELFORD CC,FALSE,TRUE,TRUE,FALSE
248,2018,"ROYSTON CC, HERTS",209,2,ELMDON CC,206,6,"ROYSTON CC, HERTS WON  BY 8 WICKETS","ROYSTON CC, HERTS",FALSE,TRUE,TRUE,FALSE
249,2018,ELMDON CC,179,8,WHITTLESFORD CC,181,6,WHITTLESFORD CC WON  BY 4 WICKETS,WHITTLESFORD CC,FALSE,TRUE,FALSE,TRUE
250,2018,ELMDON CC,198,7,COKENACH CC,202,0,COKENACH CC WON  BY 10 WICKETS,COKENACH CC,FALSE,TRUE,FALSE,TRUE
251,2018,ELMDON CC,143,2,HARLTON CC,142,10,ELMDON CC WON  BY 8 WICKETS,ELMDON CC,FALSE,TRUE,TRUE,FALSE
252,2018,ELMDON CC,183,10,CHESTERFORDS CC,210,3,CHESTERFORDS CC WON  BY 27 RUNS,CHESTERFORDS CC,TRUE,FALSE,FALSE,TRUE
253,2018,ELMDON CC,125,5,"ROYSTON CC, HERTS",124,10,ELMDON CC WON  BY 5 WICKETS,ELMDON CC,FALSE,TRUE,TRUE,FALSE
254,2018,COKENACH CC,270,6,ELMDON CC,170,10,COKENACH CC WON  BY 100 RUNS,COKENACH CC,TRUE,FALSE,TRUE,FALSE
255,2018,HARLTON CC,139,10,ELMDON CC,207,9,ELMDON CC WON  BY 68 RUNS,ELMDON CC,TRUE,FALSE,FALSE,TRUE
256,2018,ELMDON CC,132,9,HELIONS BUMPSTEAD CC,183,10,HELIONS BUMPSTEAD CC WON  BY 51 RUNS,HELIONS BUMPSTEAD CC,TRUE,FALSE,FALSE,TRUE
257,2018,WHITTLESFORD CC,165,4,ELMDON CC,161,6,WHITTLESFORD CC WON  BY 6 WICKETS,WHITTLESFORD CC,FALSE,TRUE,TRUE,FALSE
259,2018,LONGSTOWE CC,195,3,ELMDON CC,122,8,LONGSTOWE CC WON  BY 73 RUNS,LONGSTOWE CC,TRUE,FALSE,TRUE,FALSE
